date,news,neg,neu,pos,compound,sentiment,cleaned_news
2007-07-07,"It was a long antipodean night. While there’s no telling what’s a reflection of national taste and what’s the result of booking expediency, each of the concerts from Australia, Japan and China certainly had its own character.",0.059,0.878,0.064,0.0516,POSITIVE,long antipodean night telling reflection national taste result booking expediency concert australia japan china certainly character
2007-07-07,"In Mexico there are no licensing or registration requirements for real estate agents, which means your bartender in the nightclub might show up as your agent the next day. Anyone can represent themselves as an agent. While rare, stories abound of unscrupulous or simply under-prepared agents fouling up deals. ",0.044,0.956,0.0,-0.296,NEGATIVE,mexico licensing registration requirement real estate agent mean bartender nightclub might show agent next day anyone represent agent rare story abound unscrupulous simply prepared agent fouling deal
2007-07-07,The government has until Monday to protect the redacted names of baseball players who were supplied performance-enhancing drugs by a former Mets clubhouse attendant.,0.0,0.894,0.106,0.3818,POSITIVE,government monday protect redacted name baseball player supplied performance enhancing drug former mets clubhouse attendant
2007-07-07,A record-breaking heat wave in the Southwest is pushing northward. ,0.19750476,0.6614898,0.14100547,0.9974910020828248,POSITIVE,record breaking heat wave southwest pushing northward
2007-07-07,"England started its Live Earth concert at Wembley Stadium with an international drum tattoo: rockers at their kits, Scotsmen in kilts, Brazilian and Japanese and African drums. Then the show went decidedly British, mixing bombast, yearning and self-pity. The latest Genesis reunion did it with fast fingers and prog-rock intricacy; its all-purpose complaint about the state of the world, “Land of Confusion,” was still germane. ",0.033,0.945,0.022,-0.1779,NEGATIVE,england started live earth concert wembley stadium international drum tattoo rocker kit scotsman kilt brazilian japanese african drum show went decidedly british mixing bombast yearning self pity latest genesis reunion fast finger prog rock intricacy purpose complaint state world land confusion still germane
2007-07-07,"The Lewis Hamilton effect is felt everywhere. When I left the paddock last night after 10:30 PM – when I took the photo below to provide another view of the new McLaren motor home, as promised – it took 25 minutes to drive back to my hotel in Northampton. When I returned to the track this morning shortly after 8:00 AM, it took an hour and a half. The Hamilton phenomenon is living up to expectation. ",0.0,0.965,0.035,0.3612,POSITIVE,lewis hamilton effect felt everywhere left paddock last night 10 30 pm took photo provide another view new mclaren motor home promised took 25 minute drive back hotel northampton returned track morning shortly 8 00 took hour half hamilton phenomenon living expectation
2007-07-07,"The Sam’s Army ratings polls reflect the general disappointment with the Nats at the Copa América, but they also show that a handful of players impressed the fans who pay the closest attention.",0.102,0.786,0.112,0.34,POSITIVE,sam army rating poll reflect general disappointment nats copa rica also show handful player impressed fan pay closest attention
2008-06-08,"b'Chiapas: army occupies Zapatista communities in ""anti-drug"" ops'",0.24157748,0.7353354,0.023087041,0.9435353875160216,NEGATIVE,b chiapas army occupies zapatista community anti drug ops
2008-06-08,"b""Canada: Beware slippery slope' to censorship, hearing told """,0.60930634,0.37508816,0.015605471,0.967464029788971,NEGATIVE,b canada beware slippery slope censorship hearing told
2008-06-08,"b""Oil reserves 'will last decades' - a BBC Scotland investigation has been told""",0.23895569,0.7132913,0.047753077,0.7918260097503662,NEGATIVE,b oil reserve last decade bbc scotland investigation told
2008-06-08,"b""A 5.1 earthquake hits China's Southern Qinghai province.""",0.2910532,0.6837397,0.025207054,0.9477975368499756,POSITIVE,b 5 1 earthquake hit china southern qinghai province
2008-06-08,"b""Iceland opens Europe's largest national park. The 15.000 square kilometer (5792 square mile) Vatnajkull National Park. """,0.004937863,0.33222142,0.66284066,0.999515414237976,POSITIVE,b iceland open europe largest national park 15 000 square kilometer 5792 square mile vatnajkull national park
2008-06-08,b'Town in Britain Plans to Start its Own Currency',0.029850129,0.9169163,0.053233568,0.9440157413482666,NEGATIVE,b town britain plan start currency
2008-06-08,"b'Marriage, they said, was reduced to the status of a commercial transaction in which women could be discarded by husbands claiming to have discovered hidden defects in them.'",0.169,0.831,0.0,-0.6249,NEGATIVE,b marriage said reduced status commercial transaction woman could discarded husband claiming discovered hidden defect
2008-06-08,"b""UK: Identity cards 'could be used to spy on people' and a new children's database may be used to identify likely future criminals. Has covert surveillance gone too far?""",0.121,0.879,0.0,-0.5719,NEGATIVE,b uk identity card could used spy people new child database may used identify likely future criminal covert surveillance gone far
2008-06-08,b'Angst in Ankara: Turkey Steers into a Dangerous Identity Crisis',0.507,0.493,0.0,-0.802,NEGATIVE,b angst ankara turkey steer dangerous identity crisis
2008-06-08,"b'Threat of world AIDS pandemic among heterosexuals is over, report admits'",0.0,0.82,0.18,0.296,POSITIVE,b threat world aid pandemic among heterosexual report admits
2008-06-08,"b'Man goes berzerk in Akihabara and stabs everyone nearby: 6 dead, 12 injured '",0.524,0.476,0.0,-0.872,NEGATIVE,b man go berzerk akihabara stab everyone nearby 6 dead 12 injured
2008-06-08,"b'News is a contraband item in Pakistan now, and it is being sold on the black market,'",0.64336276,0.34409323,0.012543955,0.9920668601989746,NEGATIVE,b news contraband item pakistan sold black market
2008-06-08,b'Cameras designed to detect terrorist facial expressions',0.439,0.561,0.0,-0.6908,NEGATIVE,b camera designed detect terrorist facial expression
